SampleID,Hugo_Symbol,PyClonePhyloCluster
CRUK0062,RELN,10
CRUK0062,LRIG1,5
CRUK0062,PPP1R9A,19
CRUK0062,CDKL4,8
CRUK0062,NOD2,2
CRUK0062,NKX2-4,13
CRUK0062,SLC5A5,2
CRUK0062,RAB8A,2
CRUK0062,TMEM18,8
CRUK0062,OR5A2,3
CRUK0062,PHF20L1,2
CRUK0062,RFX6,5
CRUK0062,CDH7,24
CRUK0062,PTPRS,5
CRUK0062,COLGALT1,12
CRUK0062,CPNE2,2
CRUK0062,TTC16,2
CRUK0062,SLC7A4,2
CRUK0062,GALR3,6
CRUK0062,LRRC7,5
CRUK0062,BAIAP2L2,2
CRUK0062,GAN,5
CRUK0062,SLC14A2,5
CRUK0062,MUC16,2
CRUK0062,EYA2,5
CRUK0062,RHOA,5
CRUK0062,CKAP2,5
CRUK0062,ZNF444,NA
CRUK0062,DLG1,2
CRUK0062,CCDC169-SOHLH2,5
CRUK0062,IRX1,5
CRUK0062,CRIPT,5
CRUK0062,SLC4A2,6
CRUK0062,SNAPC1,13
CRUK0062,CACNB2,2
CRUK0062,MUSK,2
CRUK0062,MROH9,2
CRUK0062,KPNA4,6
CRUK0062,GRAMD4,5
CRUK0062,FCGBP,5
CRUK0062,SACS,5
CRUK0062,MLN,16
CRUK0062,CENPF,5
CRUK0062,BIRC6,17
CRUK0062,SECISBP2L,10
CRUK0062,MROH2B,2
CRUK0062,KIF1A,3
CRUK0062,KDM5B,13
CRUK0062,EIF3B,6
CRUK0062,RP1,6
CRUK0062,NEDD9,2
CRUK0062,EIF4ENIF1,2
CRUK0062,SCMH1,2
CRUK0062,FBXL15,2
CRUK0062,SOX3,NA
CRUK0062,ARID1B,13
CRUK0062,NKAPL,2
CRUK0062,CALY,3
CRUK0062,INHBA,NA
CRUK0062,LRP1B,5
CRUK0062,SMARCC2,5
CRUK0062,TLE1,16
CRUK0062,VPS4A,5
CRUK0062,PLXNB2,2
CRUK0062,POLE2,15
CRUK0062,PAPD7,5
CRUK0062,SHANK2,10
CRUK0062,DSN1,5
CRUK0062,EIF3L,2
CRUK0062,PRSS58,1
CRUK0062,DISP2,10
CRUK0062,MAG,2
CRUK0062,HPN-AS1,2
CRUK0062,DOC2A,2
CRUK0062,PLEKHA6,5
CRUK0062,HAUS5,5
CRUK0062,PGBD1,5
CRUK0062,PPIE,2
CRUK0062,RBL2,2
CRUK0062,LRRC31,6
CRUK0062,NPPB,5
CRUK0062,UBR5,5
CRUK0062,PPP6R1,1
CRUK0062,NEUROD1,1
CRUK0062,C10orf11,2
CRUK0062,FAM84A,3
CRUK0062,UBR5,16
CRUK0062,CHGB,1
CRUK0062,MYPOP,9
CRUK0062,FGF14,NA
CRUK0062,C20orf194,6
CRUK0062,C2orf91,2
CRUK0062,PKP1,13
CRUK0062,NOVA1,17
CRUK0062,KCNK9,NA
CRUK0062,CACNA1E,5
CRUK0062,CECR1,5
CRUK0062,KLRC4-KLRK1,2
CRUK0062,ZMYM2,33
CRUK0062,SEC16A,13
CRUK0062,NBN,5
CRUK0062,TUBB2B,13
CRUK0062,DTNA,NA
CRUK0062,LCA5L,2
CRUK0062,PIK3CB,11
CRUK0062,RASGRP1,5
CRUK0062,HIST1H2AE,5
CRUK0062,TIMELESS,2
CRUK0062,AMIGO2,2
CRUK0062,GALNT15,2
CRUK0062,KIAA0586,13
CRUK0062,SPAG5,2
CRUK0062,MAML2,2
CRUK0062,ATP1B1,12
CRUK0062,FBXL13,6
CRUK0062,PDIA3,5
CRUK0062,ZNF98,6
CRUK0062,ACCSL,3
CRUK0062,MC4R,12
CRUK0062,CDH23,5
CRUK0062,PRSS33,1
CRUK0062,TEAD2,2
CRUK0062,MSH2,1
CRUK0062,ADNP2,2
CRUK0062,SNRNP27,1
CRUK0062,AQP9,2
CRUK0062,NDUFC1,2
CRUK0062,DYNC2H1,5
CRUK0062,RUNX1T1,3
CRUK0062,SF3A3,1
CRUK0062,KLHL14,2
CRUK0062,ANKRD34C,6
CRUK0062,EXTL3,5
CRUK0062,PODNL1,5
CRUK0062,USP53,1
CRUK0062,LUZP2,2
CRUK0062,ERC2,6
CRUK0062,ATP13A5,17
CRUK0062,MYO1E,5
CRUK0062,WDR72,5
CRUK0062,CILP,3
CRUK0062,FRAS1,5
CRUK0062,C16orf93,2
CRUK0062,CD226,16
CRUK0062,ATXN7L3B,2
CRUK0062,SAMD8,3
CRUK0062,PYGL,1
CRUK0062,PCGF1,5
CRUK0062,KIAA1244,2
CRUK0062,KIF21A,5
CRUK0062,PIK3CB,21
CRUK0062,DGAT1,24
CRUK0062,SLC17A1,6
CRUK0062,TBC1D32,2
CRUK0062,CENPF,6
CRUK0062,HSF2,5
CRUK0062,AGPS,1
CRUK0062,RABL6,2
CRUK0062,ARRDC2,6
CRUK0062,MAN2C1,6
CRUK0062,DRG2,2
CRUK0062,THEMIS2,6
CRUK0062,TOPAZ1,6
CRUK0062,POLR2A,2
CRUK0062,SHANK2,10
CRUK0062,SHANK2,NA
CRUK0062,GLI2,1
CRUK0062,PCDHGC5,6
CRUK0062,TTN,NA
CRUK0062,HMGCS1,1
CRUK0062,CTNNA3,NA
CRUK0062,KIAA0100,13
CRUK0062,RAB3IP,5
CRUK0062,IL32,1
CRUK0062,LONP2,2
CRUK0062,CMC1,2
CRUK0062,IQGAP1,2
CRUK0062,FAAH2,NA
CRUK0062,ZFHX3,6
CRUK0062,KCNK9,NA
CRUK0062,YIF1A,16
CRUK0062,NIN,2
CRUK0062,URGCP,2
CRUK0062,PLK3,1
CRUK0062,TSPAN32,6
CRUK0062,CLEC4G,6
CRUK0062,IL22RA2,6
CRUK0062,GATM,2
CRUK0062,SRRM2,9
CRUK0062,ZNF790-AS1,30
CRUK0062,MC4R,9
CRUK0062,SLC12A3,5
CRUK0062,ADCY1,1
CRUK0062,KRTAP27-1,6
CRUK0062,DHDDS,7
CRUK0062,TBX21,5
CRUK0062,C4orf45,2
CRUK0062,ZNF791,5
CRUK0062,TRADD,2
CRUK0062,FSIP2,3
CRUK0062,ZSWIM6,41
CRUK0062,SLC5A9,6
CRUK0062,NMT1,1
CRUK0062,IZUMO4,2
CRUK0062,MAP3K15,NA
CRUK0062,ADAMTSL4,1
CRUK0062,UBE2L6,NA
CRUK0062,MYO16,NA
CRUK0062,INPPL1,13
CRUK0062,FSHR,8
CRUK0062,CNIH4,2
CRUK0062,MUC16,3
CRUK0062,CRIM1,1
CRUK0062,DNAH3,5
CRUK0062,MYBPC1,6
CRUK0062,COBLL1,NA
CRUK0062,NFE2L2,1
CRUK0062,CTIF,2
CRUK0062,FAM126B,5
CRUK0062,USP33,5
CRUK0062,ZSCAN5B,1
CRUK0062,COL22A1,5
CRUK0062,MED12L,5
CRUK0062,CLASP2,6
CRUK0062,GALNT1,16
CRUK0062,CNTN4,6
CRUK0062,PIK3R6,2
CRUK0062,NPRL3,2
CRUK0062,HIST1H3J,6
CRUK0062,BLACE,5
CRUK0062,RGSL1,1
CRUK0062,NUP210L,3
CRUK0062,RESP18,1
CRUK0062,WEE1,2
CRUK0062,UNC93B1,1
CRUK0062,GRIK2,6
CRUK0062,OR10J5,5
CRUK0062,CLRN1,15
CRUK0062,GNRH2,2
CRUK0062,TMED10,1
CRUK0062,RUSC1,5
CRUK0062,CTNNA2,2
CRUK0062,IL18R1,1
CRUK0062,HELZ,1
CRUK0062,CTSA,1
CRUK0062,FMO3,2
CRUK0062,UTP18,6
CRUK0062,KMT2C,6
CRUK0062,ST8SIA1,2
CRUK0062,CDH12,5
CRUK0062,LINS,6
CRUK0062,ZNF251,2
CRUK0062,NEURL4,1
CRUK0062,DGAT1,NA
CRUK0062,DSC2,1
CRUK0062,SEC24B,9
CRUK0062,GLB1L2,NA
CRUK0062,PSMD12,2
CRUK0062,MAP7D1,1
CRUK0062,OR8G5,1
CRUK0062,PCDHA12,7
CRUK0062,ANGPTL1,1
CRUK0062,NXF3,NA
CRUK0062,NONE,NA
CRUK0062,ANP32A,5
CRUK0062,GPR37,1
CRUK0062,IL7R,3
CRUK0062,CCBE1,6
CRUK0062,WDHD1,7
CRUK0062,SNAP91,1
CRUK0062,MOGAT3,2
CRUK0062,CCDC47,21
CRUK0062,MED27,6
CRUK0062,PAGE3,NA
CRUK0062,KDM3A,2
CRUK0062,FREM3,3
CRUK0062,ZNF365,5
CRUK0062,Aug-05,7
CRUK0062,PLEC,15
CRUK0062,XPO6,2
CRUK0062,HRASLS,2
CRUK0062,ADAMTSL1,6
CRUK0062,KIAA0586,1
CRUK0062,TUBA1B,2
CRUK0062,EP400,2
CRUK0062,MIR7853,1
CRUK0062,CALCOCO1,6
CRUK0062,ST7,3
CRUK0062,CD1B,9
CRUK0062,FIGF,NA
CRUK0062,MAP3K4,1
CRUK0062,HUWE1,NA
CRUK0062,MKI67,6
CRUK0062,LRRC4C,1
CRUK0062,GALNTL6,6
CRUK0062,RANBP10,5
CRUK0062,SNX8,1
CRUK0062,PTP4A3,1
CRUK0062,SLC17A6,1
CRUK0062,STARD7-AS1,2
CRUK0062,FBXO4,3
CRUK0062,MFAP4,1
CRUK0062,ADAMTS1,13
CRUK0062,CUL7,1
CRUK0062,RAD21L1,6
CRUK0062,MPRIP,5
CRUK0062,OR2T6,5
CRUK0062,TTC31,2
CRUK0062,GML,1
CRUK0062,LOC100288181,3
CRUK0062,FER1L5,2
CRUK0062,TRPV2,7
CRUK0062,NDUFA11,3
CRUK0062,CCDC77,2
CRUK0062,PLK5,43
CRUK0062,FAM63B,6
CRUK0062,CCDC114,1
CRUK0062,FGF17,7
CRUK0062,CCNT1,1
CRUK0062,TBL1XR1,2
CRUK0062,GRM6,7
CRUK0062,FAM135B,2
CRUK0062,ZNF451,1
CRUK0062,FOXRED2,2
CRUK0062,ADC,6
CRUK0062,GPX4,1
CRUK0062,OR8K5,7
CRUK0062,HAGHL,NA
CRUK0062,GNG11,6
CRUK0062,ANK1,1
CRUK0062,SLC6A3,6
CRUK0062,PPP1R12A,5
CRUK0062,SAR1B,1
CRUK0062,SEMA3D,9
CRUK0062,UNC13A,5
CRUK0062,SPTBN4,2
CRUK0062,ZC2HC1B,6
CRUK0062,G6PD,NA
CRUK0062,CCDC130,1
CRUK0062,WBSCR17,3
CRUK0062,ATP5G3,7
CRUK0062,ITLN2,1
CRUK0062,NEB,1
CRUK0062,SSBP2,7
CRUK0062,NRN1,1
CRUK0062,C19orf70,NA
CRUK0062,EEF1G,1
CRUK0062,TMEM257,NA
CRUK0062,KIF21A,5
CRUK0062,TCF20,2
CRUK0062,INTS5,9
CRUK0062,NFXL1,18
CRUK0062,SPAG4,3
CRUK0062,GRM7,5
CRUK0062,LRRCC1,7
CRUK0062,HDAC7,5
CRUK0062,TMEM131,2
CRUK0062,RARS,1
CRUK0062,MLLT4,2
CRUK0062,KRT84,9
CRUK0062,FER1L5,2
CRUK0062,POLD2,1
CRUK0062,RELN,7
CRUK0062,GLT1D1,1
CRUK0062,CERS5,18
CRUK0062,TMSB4X,NA
CRUK0062,C16orf87,1
CRUK0062,HERC1,7
CRUK0062,GBF1,1
CRUK0062,ARHGAP32,1
CRUK0062,C11orf85,7
CRUK0062,MVP,1
CRUK0062,CCDC85A,7
CRUK0062,SLCO1A2,5
CRUK0062,BRD1,1
CRUK0062,NBR1,3
CRUK0062,MET,1
CRUK0062,CDCA7,1
CRUK0062,LATS1,1
CRUK0062,CLSTN2,6
CRUK0062,FNBP1,12
CRUK0062,SEMA4G,9
CRUK0062,SUPT20H,1
CRUK0062,LINC00479,7
CRUK0062,CCDC132,1
CRUK0062,ZNF467,3
CRUK0062,CAPN6,NA
CRUK0062,PCDHGA10,15
CRUK0062,AIDA,18
CRUK0062,INPP5F,NA
CRUK0062,WBSCR17,1
CRUK0062,GLYATL1,NA
